experiment,horizon,comparison_role,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,n_cells,status
e3_exact_online,20,secondary_baseline,counts_direct,ucb1,reward,0.865,0.57,1.1451249999999982,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_direct,ucb1,exact_loss,-0.7473579942641375,-0.8265654235605034,-0.6664282584361809,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,bayes_ucb,pseudo_regret,0.4578357374732713,0.3112071182075664,0.6070001255055784,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,bayes_ucb,reward,-0.49,-0.69,-0.295,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,bayes_ucb,exact_loss,0.43099126650702635,0.36937237030706366,0.49431077406164403,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,counts_direct,pseudo_regret,0.3747238045881224,0.21012591942716222,0.5328130211042333,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,counts_direct,reward,-0.385,-0.615,-0.145,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,counts_direct,exact_loss,0.30385445528007277,0.2283111074480709,0.3812355789615779,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,exact,pseudo_regret,0.4901465780749528,0.3575193179067088,0.6281690039239818,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,exact,reward,-0.565,-0.76,-0.375,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,exact,exact_loss,0.48902452577676214,0.42761384403160413,0.5495328111387169,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,finite_ap_index,pseudo_regret,0.4981669620565195,0.3575895840504442,0.6416172197946937,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,finite_ap_index,reward,-0.545,-0.7401249999999999,-0.35,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,finite_ap_index,exact_loss,0.4873812234429931,0.4284668407595973,0.551733955356358,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,greedy,pseudo_regret,0.5914529179216657,0.4285048986500962,0.7583455116487301,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,greedy,reward,-0.62,-0.84,-0.41,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,greedy,exact_loss,0.42667533180110573,0.36537547374420465,0.49187209288901856,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,ids,pseudo_regret,0.466583427716523,0.3365327501279215,0.6029347504275832,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,ids,reward,-0.53,-0.725,-0.34,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,ids,exact_loss,0.45287382036119367,0.3935693544239814,0.5171123373863602,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,knowledge_gradient,pseudo_regret,0.4239756419541699,0.2821736750270138,0.5689672130796962,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,knowledge_gradient,reward,-0.465,-0.665,-0.26,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,knowledge_gradient,exact_loss,0.45742593487763983,0.3963493625484566,0.5222300452554534,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,ts,pseudo_regret,-0.08641277793800566,-0.22844813906447517,0.054889956127335104,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,ts,reward,0.13,-0.08,0.335,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,counts_sample,ts,exact_loss,-0.013490232972026617,-0.08939135264667523,0.06436385310824412,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,ucb1,pseudo_regret,-0.4738802729788818,-0.6215316698243457,-0.31940646166674164,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,ucb1,reward,0.48,0.275,0.68,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,counts_sample,ucb1,exact_loss,-0.4435035389840647,-0.5217756318592028,-0.3676059220265687,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,bayes_ucb,pseudo_regret,-0.019722636497887712,-0.12461028572484775,0.0916741971820382,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,bayes_ucb,reward,0.05,-0.075,0.175,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,bayes_ucb,exact_loss,-0.058033259269735786,-0.07065500239184089,-0.04635896399030907,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,dp_direct,exact,pseudo_regret,0.012588204103793963,-0.05996372623347038,0.09196720182041242,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,dp_direct,exact,reward,-0.025,-0.115,0.065,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,dp_direct,exact,exact_loss,0.0,0.0,0.0,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,finite_ap_index,pseudo_regret,0.02060858808536054,-0.059186475244405186,0.10059732087863524,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,finite_ap_index,reward,-0.005,-0.11,0.105,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,finite_ap_index,exact_loss,-0.00164330233376905,-0.002286609726317905,-0.0010799041503014232,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,greedy,pseudo_regret,0.11389454395050666,0.001063095669435946,0.2392142167158458,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,greedy,reward,-0.08,-0.21,0.050124999999998185,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,greedy,exact_loss,-0.06234919397565641,-0.08259866638946581,-0.045605501681263226,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,ids,pseudo_regret,-0.010974946254635944,-0.07255925928026233,0.049772389369762166,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,ids,reward,0.01,-0.085,0.105,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,ids,exact_loss,-0.036150705415568446,-0.04633684867322108,-0.02695894435095843,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,knowledge_gradient,pseudo_regret,-0.053582732016989,-0.14037497688134382,0.030976151683385765,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,knowledge_gradient,reward,0.075,-0.045,0.2,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,knowledge_gradient,exact_loss,-0.03159859089912234,-0.04035418330681662,-0.02341635118456542,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,dp_direct,ts,pseudo_regret,-0.5639711519091645,-0.6750603440310354,-0.45574237885375624,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,dp_direct,ts,reward,0.67,0.49,0.845,200,200,200,episode,1,ok
e3_exact_online,20,planned_comparison,dp_direct,ts,exact_loss,-0.5025147587487888,-0.5466906492049306,-0.4585254478448454,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,ucb1,pseudo_regret,-0.9514386469500407,-1.1104354900323103,-0.7899590386981524,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,ucb1,reward,1.02,0.795,1.23,200,200,200,episode,1,ok
e3_exact_online,20,secondary_baseline,dp_direct,ucb1,exact_loss,-0.9325280647608268,-0.9993377501640918,-0.862886918575009,200,200,200,episode,1,ok
e4_scaling,100,secondary_baseline,bayes_direct,bayes_ucb,pseudo_regret,2.462769692412429,1.5235003985737758,3.4096872866432935,600,600,600,episode,15,ok
