experiment,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_fixtures,unit
e2_assistance,2,counts_explore,means_explore,distribution_exact_loss,0.007777109810479389,0.004986545563358756,0.010950776823267337,100,underlying fixture
e2_assistance,2,counts_explore,means_explore,optimal_agreement,-0.1075,-0.165,-0.0575,100,underlying fixture
e2_assistance,2,counts_explore,means_explore,posterior_mean_greedy,-0.0825,-0.1325,-0.04,100,underlying fixture
e2_assistance,2,counts_explore,means_explore,prediction_entropy,0.05641426184342497,0.035436201746553986,0.07855832725618028,100,underlying fixture
e2_assistance,2,counts_explore,recommendation_explore,exact_loss,0.007776223776223775,0.003554902389277391,0.012777887737262735,100,underlying fixture
e2_assistance,2,counts_explore,recommendation_explore,distribution_exact_loss,0.014269832585892374,0.012136567151598427,0.016498427653641637,100,underlying fixture
e2_assistance,2,counts_explore,recommendation_explore,optimal_agreement,-0.085,-0.13,-0.045,100,underlying fixture
e2_assistance,2,counts_explore,recommendation_explore,posterior_mean_greedy,-0.065,-0.1075,-0.03,100,underlying fixture
e2_assistance,2,counts_explore,recommendation_explore,prediction_entropy,0.1338867356400753,0.10580834795321216,0.160154434383703,100,underlying fixture
e2_assistance,2,dp_values_explore,means_explore,exact_loss,-0.0002878787878787881,-0.0007272727272727276,0.0,100,underlying fixture
e2_assistance,2,dp_values_explore,means_explore,distribution_exact_loss,-0.011220526240064269,-0.012576162967014868,-0.009873762104969283,100,underlying fixture
e2_assistance,2,dp_values_explore,means_explore,optimal_agreement,0.0125,0.0,0.035,100,underlying fixture
e2_assistance,2,dp_values_explore,means_explore,posterior_mean_greedy,-0.0075,-0.03,0.0075,100,underlying fixture
e2_assistance,2,dp_values_explore,means_explore,prediction_entropy,-0.18205136447395792,-0.20615187788991352,-0.16000707678070364,100,underlying fixture
e2_assistance,2,dp_values_explore,recommendation_explore,exact_loss,-0.0021158841158841167,-0.004276034382284384,-0.0004783549783549779,100,underlying fixture
e2_assistance,2,dp_values_explore,recommendation_explore,distribution_exact_loss,-0.004727803464651285,-0.00681866358663981,-0.002892459655380836,100,underlying fixture
e2_assistance,2,dp_values_explore,recommendation_explore,optimal_agreement,0.035,0.01,0.065,100,underlying fixture
e2_assistance,2,dp_values_explore,recommendation_explore,posterior_mean_greedy,0.01,-0.02,0.04,100,underlying fixture
e2_assistance,2,dp_values_explore,recommendation_explore,prediction_entropy,-0.10457889067730752,-0.13722051755176845,-0.07350342144664478,100,underlying fixture
e2_assistance,2,means_explore,recommendation_explore,exact_loss,-0.0018280053280053288,-0.003974327755577757,-0.00029662004662004695,100,underlying fixture
e2_assistance,2,means_explore,recommendation_explore,distribution_exact_loss,0.006492722775412986,0.004517994818587199,0.008416497274917108,100,underlying fixture
e2_assistance,2,means_explore,recommendation_explore,optimal_agreement,0.0225,0.0075,0.0425,100,underlying fixture
e2_assistance,2,means_explore,recommendation_explore,posterior_mean_greedy,0.0175,0.0025,0.0375,100,underlying fixture
e2_assistance,2,means_explore,recommendation_explore,prediction_entropy,0.07747247379665034,0.05056435880548541,0.10304011061032743,100,underlying fixture
e2_assistance,10,bayes_explore,counts_explore,exact_loss,-0.004121318158800839,-0.007094513435722476,-0.0015290017257939572,100,underlying fixture
e2_assistance,10,bayes_explore,counts_explore,distribution_exact_loss,-0.006696511567937966,-0.008418680266384952,-0.0050316301671548165,100,underlying fixture
e2_assistance,10,bayes_explore,counts_explore,optimal_agreement,0.045,0.01,0.085,100,underlying fixture
e2_assistance,10,bayes_explore,counts_explore,posterior_mean_greedy,0.0425,0.015,0.075,100,underlying fixture
e2_assistance,10,bayes_explore,counts_explore,prediction_entropy,-0.05482274440602479,-0.07032233162466808,-0.03924314043254666,100,underlying fixture
e2_assistance,10,bayes_explore,dp_values_explore,exact_loss,0.003661407887287158,0.0013337336030201244,0.006521606899752588,100,underlying fixture
e2_assistance,10,bayes_explore,dp_values_explore,distribution_exact_loss,0.015061419929182132,0.012724962002959726,0.017518483336454654,100,underlying fixture
e2_assistance,10,bayes_explore,dp_values_explore,optimal_agreement,-0.0775,-0.13,-0.0325,100,underlying fixture
e2_assistance,10,bayes_explore,dp_values_explore,posterior_mean_greedy,0.0425,-0.0075,0.0975,100,underlying fixture
e2_assistance,10,bayes_explore,dp_values_explore,prediction_entropy,0.20799591255520117,0.1781225411162263,0.23809346548215632,100,underlying fixture
e2_assistance,10,bayes_explore,means_explore,exact_loss,0.0011041694087642728,0.0,0.0027217175940002125,100,underlying fixture
e2_assistance,10,bayes_explore,means_explore,distribution_exact_loss,0.0034578615969005277,0.002010570475604487,0.0048873714654797664,100,underlying fixture
e2_assistance,10,bayes_explore,means_explore,optimal_agreement,-0.0125,-0.03,0.0,100,underlying fixture
e2_assistance,10,bayes_explore,means_explore,posterior_mean_greedy,-0.0125,-0.03,0.0,100,underlying fixture
e2_assistance,10,bayes_explore,means_explore,prediction_entropy,0.03643955888145616,0.021205301679855397,0.05148428500933757,100,underlying fixture
e2_assistance,10,bayes_explore,recommendation_explore,exact_loss,-0.003074068622319337,-0.005485843370465919,-0.0010707524892929687,100,underlying fixture
e2_assistance,10,bayes_explore,recommendation_explore,distribution_exact_loss,0.008084495237790618,0.005745151402962011,0.010465616924899172,100,underlying fixture
e2_assistance,10,bayes_explore,recommendation_explore,optimal_agreement,0.03,0.01,0.0525,100,underlying fixture
e2_assistance,10,bayes_explore,recommendation_explore,posterior_mean_greedy,0.0125,0.0025,0.0275,100,underlying fixture
e2_assistance,10,bayes_explore,recommendation_explore,prediction_entropy,0.10482526325493134,0.075757128556343,0.1327385489985767,100,underlying fixture
e2_assistance,10,counts_explore,dp_values_explore,exact_loss,0.007782726046087997,0.004194720107756298,0.011806946555325493,100,underlying fixture
e2_assistance,10,counts_explore,dp_values_explore,distribution_exact_loss,0.021757931497120096,0.018741844992734888,0.024938796928731726,100,underlying fixture
e2_assistance,10,counts_explore,dp_values_explore,optimal_agreement,-0.1225,-0.1825,-0.07,100,underlying fixture
e2_assistance,10,counts_explore,dp_values_explore,posterior_mean_greedy,0.0,-0.055,0.055,100,underlying fixture
e2_assistance,10,counts_explore,dp_values_explore,prediction_entropy,0.26281865696122597,0.23138858465968218,0.2957194955153775,100,underlying fixture
e2_assistance,10,counts_explore,means_explore,exact_loss,0.005225487567565112,0.0022539267138594237,0.008691103562068234,100,underlying fixture
e2_assistance,10,counts_explore,means_explore,distribution_exact_loss,0.010154373164838493,0.008030366107665962,0.012373767071188398,100,underlying fixture
e2_assistance,10,counts_explore,means_explore,optimal_agreement,-0.0575,-0.1025,-0.0175,100,underlying fixture
e2_assistance,10,counts_explore,means_explore,posterior_mean_greedy,-0.055,-0.095,-0.02,100,underlying fixture
e2_assistance,10,counts_explore,means_explore,prediction_entropy,0.09126230328748097,0.07282984130826488,0.11028213724920065,100,underlying fixture
e2_assistance,10,counts_explore,recommendation_explore,exact_loss,0.0010472495364815025,-0.001208744053762149,0.003385095447226349,100,underlying fixture
e2_assistance,10,counts_explore,recommendation_explore,distribution_exact_loss,0.014781006805728586,0.012475126695981498,0.017000033899455647,100,underlying fixture
e2_assistance,10,counts_explore,recommendation_explore,optimal_agreement,-0.015,-0.05,0.0175,100,underlying fixture
e2_assistance,10,counts_explore,recommendation_explore,posterior_mean_greedy,-0.03,-0.0625,-0.0025,100,underlying fixture
e2_assistance,10,counts_explore,recommendation_explore,prediction_entropy,0.15964800766095613,0.12924337712023,0.18869643546185538,100,underlying fixture
e2_assistance,10,dp_values_explore,means_explore,exact_loss,-0.0025572384785228853,-0.005023004459467773,-0.0006316152901313783,100,underlying fixture
e2_assistance,10,dp_values_explore,means_explore,distribution_exact_loss,-0.011603558332281603,-0.013519217243176987,-0.00985238340511186,100,underlying fixture
e2_assistance,10,dp_values_explore,means_explore,optimal_agreement,0.065,0.02,0.12,100,underlying fixture
e2_assistance,10,dp_values_explore,means_explore,posterior_mean_greedy,-0.055,-0.105,-0.01,100,underlying fixture
e2_assistance,10,dp_values_explore,means_explore,prediction_entropy,-0.17155635367374505,-0.19774280547071588,-0.14732774076183042,100,underlying fixture
e2_assistance,10,dp_values_explore,recommendation_explore,exact_loss,-0.006735476509606495,-0.0101861287842146,-0.0036391196392457016,100,underlying fixture
e2_assistance,10,dp_values_explore,recommendation_explore,distribution_exact_loss,-0.006976924691391515,-0.01035776406560514,-0.003818828281413622,100,underlying fixture
e2_assistance,10,dp_values_explore,recommendation_explore,optimal_agreement,0.1075,0.0575,0.1625,100,underlying fixture
e2_assistance,10,dp_values_explore,recommendation_explore,posterior_mean_greedy,-0.03,-0.085,0.02,100,underlying fixture
e2_assistance,10,dp_values_explore,recommendation_explore,prediction_entropy,-0.10317064930026984,-0.14206756131581347,-0.06614325295698413,100,underlying fixture
e2_assistance,10,means_explore,recommendation_explore,exact_loss,-0.0041782380310836096,-0.006930678763562754,-0.0017910086645328896,100,underlying fixture
e2_assistance,10,means_explore,recommendation_explore,distribution_exact_loss,0.00462663364089009,0.00205504654144641,0.0071078696818154,100,underlying fixture
e2_assistance,10,means_explore,recommendation_explore,optimal_agreement,0.0425,0.02,0.07,100,underlying fixture
e2_assistance,10,means_explore,recommendation_explore,posterior_mean_greedy,0.025,0.0075,0.045,100,underlying fixture
e2_assistance,10,means_explore,recommendation_explore,prediction_entropy,0.06838570437347517,0.039404325642813445,0.09635970104887366,100,underlying fixture
