experiment,horizon,policy,state_regime,metric,mean,ci_low,ci_high,n_fixtures,analysis_role
e1_horizon,10,counts_explore,exploration_required,non_greedy_probability,0.318125,0.18875,0.4600078124999999,8,post_hoc_secondary
e1_horizon,10,counts_explore,exploration_required,value_of_exploration,0.04642346482999726,0.028918666206442612,0.06286245307605043,8,post_hoc_secondary
e1_horizon,10,counts_explore,exploration_required,loss_at_least_001,0.6875,0.375,1.0,8,post_hoc_secondary
e1_horizon,10,counts_explore,greedy_can_be_optimal,optimal_agreement,0.8913043478260869,0.8342391304347826,0.9429347826086957,92,post_hoc_secondary
e1_horizon,10,counts_explore,greedy_can_be_optimal,exact_loss,0.011403414254553386,0.0060676741421613846,0.017337041270083085,92,post_hoc_secondary
e1_horizon,10,counts_explore,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.0011403414254553385,0.0006046299842843548,0.0017275056357949118,92,post_hoc_secondary
e1_horizon,10,counts_explore,greedy_can_be_optimal,non_greedy_choice,0.035326086956521736,0.010869565217391304,0.06793478260869565,92,post_hoc_secondary
e1_horizon,10,counts_explore,greedy_can_be_optimal,non_greedy_probability,0.1148369565217391,0.08809782608695653,0.14445720108695653,92,post_hoc_secondary
e1_horizon,10,counts_explore,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,92,post_hoc_secondary
e1_horizon,10,counts_explore,greedy_can_be_optimal,loss_at_least_001,0.10869565217391304,0.059782608695652176,0.16576086956521738,92,post_hoc_secondary
e1_horizon,10,counts_neutral,exploration_required,optimal_agreement,0.03125,0.0,0.09375,8,post_hoc_secondary
e1_horizon,10,counts_neutral,exploration_required,exact_loss,0.0460920626012736,0.0284695574517711,0.06286245307605043,8,post_hoc_secondary
e1_horizon,10,counts_neutral,exploration_required,exact_loss_per_remaining_pull,0.00460920626012736,0.0028271145740757964,0.00624323878545536,8,post_hoc_secondary
e1_horizon,10,counts_neutral,exploration_required,non_greedy_choice,0.03125,0.0,0.09375,8,post_hoc_secondary
e1_horizon,10,counts_neutral,exploration_required,non_greedy_probability,0.1771875,0.0756171875,0.29374999999999996,8,post_hoc_secondary
e1_horizon,10,counts_neutral,exploration_required,value_of_exploration,0.04642346482999726,0.02903369891644525,0.06381323074354928,8,post_hoc_secondary
e1_horizon,10,counts_neutral,exploration_required,loss_at_least_001,0.96875,0.90625,1.0,8,post_hoc_secondary
e1_horizon,10,counts_neutral,greedy_can_be_optimal,optimal_agreement,0.8342391304347826,0.7554347826086957,0.904891304347826,92,post_hoc_secondary
e1_horizon,10,counts_neutral,greedy_can_be_optimal,exact_loss,0.01849235838382202,0.010401297256579725,0.027499739985644922,92,post_hoc_secondary
e1_horizon,10,counts_neutral,greedy_can_be_optimal,exact_loss_per_remaining_pull,0.0018492358383822023,0.001037456437298378,0.002761063328752242,92,post_hoc_secondary
e1_horizon,10,counts_neutral,greedy_can_be_optimal,non_greedy_choice,0.07065217391304347,0.024456521739130436,0.125,92,post_hoc_secondary
e1_horizon,10,counts_neutral,greedy_can_be_optimal,non_greedy_probability,0.08497282608695651,0.05135733695652175,0.1240767663043478,92,post_hoc_secondary
e1_horizon,10,counts_neutral,greedy_can_be_optimal,value_of_exploration,0.0,0.0,0.0,92,post_hoc_secondary
e1_horizon,10,counts_neutral,greedy_can_be_optimal,loss_at_least_001,0.16576086956521738,0.09510869565217392,0.24456521739130435,92,post_hoc_secondary
e1_horizon,10,counts_regret,exploration_required,optimal_agreement,0.125,0.0,0.3125,8,post_hoc_secondary
e1_horizon,10,counts_regret,exploration_required,exact_loss,0.045097855915102625,0.026571791303934333,0.06286245307605043,8,post_hoc_secondary
e1_horizon,10,counts_regret,exploration_required,exact_loss_per_remaining_pull,0.0045097855915102614,0.002638248108665597,0.006210098562582994,8,post_hoc_secondary
