target,k,representation,metric,mean,ci_low,ci_high,n_fixtures
next_reward,2,means,cross_repeat_error_product,0.00288785442551677,0.0025111682225783,0.0032761506666854055,100
next_reward,3,bayes,raw_excess_brier,0.002340150278293135,0.002100417814508724,0.0026032908955042106,100
next_reward,3,bayes,repeat_variability,6.700000000000022e-05,5.6666666666666915e-05,7.799999999999982e-05,100
next_reward,3,bayes,cross_repeat_error_product,0.002273150278293135,0.002036226936651613,0.002534784181018594,100
next_reward,3,counts,raw_excess_brier,0.004706916512059367,0.003980500879856075,0.005470544912795236,100
next_reward,3,counts,repeat_variability,0.00011866666666666751,9.366666666666682e-05,0.00014566666666666732,100
next_reward,3,counts,cross_repeat_error_product,0.0045882498453927,0.003866600729933846,0.005347994121799309,100
next_reward,3,means,raw_excess_brier,0.003223832817975683,0.002900480704072267,0.0035880552549302645,100
next_reward,3,means,repeat_variability,6.70000000000011e-05,5.7000000000000925e-05,7.800000000000123e-05,100
next_reward,3,means,cross_repeat_error_product,0.003156832817975682,0.002834801912445431,0.0035215119525496196,100
next_reward,5,bayes,raw_excess_brier,0.0022857976799535266,0.002112609004047904,0.0024593319647307978,100
next_reward,5,bayes,repeat_variability,6.760000000000083e-05,5.9000000000000824e-05,7.640000000000098e-05,100
next_reward,5,bayes,cross_repeat_error_product,0.0022181976799535257,0.0020461472742264977,0.0023911519066359362,100
next_reward,5,counts,raw_excess_brier,0.005130371705927551,0.00450594733869305,0.0057646910630422986,100
next_reward,5,counts,repeat_variability,0.00014060000000000035,0.00011940000000000053,0.00016199999999999998,100
next_reward,5,counts,cross_repeat_error_product,0.00498977170592755,0.004371019281122917,0.005622805427184645,100
next_reward,5,means,raw_excess_brier,0.002983553524109375,0.0027700528262214045,0.0031993772974644496,100
next_reward,5,means,repeat_variability,7.200000000000144e-05,6.360000000000144e-05,8.080000000000129e-05,100
next_reward,5,means,cross_repeat_error_product,0.002911553524109374,0.0026987013989617937,0.003127792838402584,100
