family,policy,metric,mean,ci_low,ci_high,n_episodes,expected_episodes,analysis_role
close,random,exact_loss,5.385986556280853,4.463752653109262,6.398496461589935,40,40,post_hoc_two_arm_normative_audit
close,random,optimal_agreement,0.5002500000000001,0.4852437499999999,0.5155000000000001,40,40,post_hoc_two_arm_normative_audit
close,random,pseudo_regret,2.533750000000002,2.4550000000000023,2.6137500000000022,40,40,post_hoc_two_arm_normative_audit
close,random,reward,53.425,51.8,55.075,40,40,post_hoc_two_arm_normative_audit
close,ts,exact_loss,1.4492080192088477,1.2825069423632907,1.619142583210416,40,40,post_hoc_two_arm_normative_audit
close,ts,optimal_agreement,0.7775000000000001,0.74299375,0.8134999999999998,40,40,post_hoc_two_arm_normative_audit
close,ts,pseudo_regret,2.205000000000002,1.7912500000000016,2.6250312500000024,40,40,post_hoc_two_arm_normative_audit
close,ts,reward,53.475,52.1,54.9,40,40,post_hoc_two_arm_normative_audit
close,ucb1,exact_loss,2.9450013686268313,2.444355398585772,3.451933460302378,40,40,post_hoc_two_arm_normative_audit
close,ucb1,optimal_agreement,0.6925,0.6725,0.71275,40,40,post_hoc_two_arm_normative_audit
close,ucb1,pseudo_regret,2.1937500000000023,2.010000000000002,2.3787500000000024,40,40,post_hoc_two_arm_normative_audit
close,ucb1,reward,53.85,52.375,55.350624999999994,40,40,post_hoc_two_arm_normative_audit
prior,bayes_direct,exact_loss,0.8623414863446545,0.49759732110020516,1.2634162953656143,40,40,post_hoc_two_arm_normative_audit
prior,bayes_direct,optimal_agreement,0.6792499999999999,0.5700000000000001,0.7860062499999998,40,40,post_hoc_two_arm_normative_audit
prior,bayes_direct,pseudo_regret,3.0021806081994127,1.4631232928156772,4.868556989510476,40,40,post_hoc_two_arm_normative_audit
prior,bayes_direct,reward,62.2,53.599375,70.525,40,40,post_hoc_two_arm_normative_audit
prior,bayes_sample,exact_loss,1.6904895888158713,1.3975040464760609,1.987487775661356,40,40,post_hoc_two_arm_normative_audit
prior,bayes_sample,optimal_agreement,0.85125,0.80525,0.891,40,40,post_hoc_two_arm_normative_audit
prior,bayes_sample,pseudo_regret,4.037941667462329,3.0919793122189123,5.216910423998978,40,40,post_hoc_two_arm_normative_audit
prior,bayes_sample,reward,61.7,53.6,69.625,40,40,post_hoc_two_arm_normative_audit
prior,bayes_ucb,exact_loss,0.3053897377534825,0.19920353781459693,0.4260337331446064,40,40,post_hoc_two_arm_normative_audit
prior,bayes_ucb,optimal_agreement,0.95175,0.933,0.968,40,40,post_hoc_two_arm_normative_audit
prior,bayes_ucb,pseudo_regret,2.3356194017446414,1.4679546903186498,3.5814163059926796,40,40,post_hoc_two_arm_normative_audit
prior,bayes_ucb,reward,63.35,55.125,71.15,40,40,post_hoc_two_arm_normative_audit
prior,counts_direct,exact_loss,1.178025541608865,0.7025539104499852,1.703835291481761,40,40,post_hoc_two_arm_normative_audit
prior,counts_direct,optimal_agreement,0.67025,0.5615,0.77425,40,40,post_hoc_two_arm_normative_audit
prior,counts_direct,pseudo_regret,3.455745877862583,1.6889985806645038,5.612511988254968,40,40,post_hoc_two_arm_normative_audit
prior,counts_direct,reward,62.475,54.349375,70.325,40,40,post_hoc_two_arm_normative_audit
prior,counts_sample,exact_loss,1.9562271377472507,1.6320793017751698,2.2990975737377806,40,40,post_hoc_two_arm_normative_audit
prior,counts_sample,optimal_agreement,0.85225,0.8147500000000001,0.88475,40,40,post_hoc_two_arm_normative_audit
prior,counts_sample,pseudo_regret,4.428522163317682,3.4208014188746616,5.653021448303096,40,40,post_hoc_two_arm_normative_audit
prior,counts_sample,reward,61.7,53.724375,69.5,40,40,post_hoc_two_arm_normative_audit
prior,exact_h100,exact_loss,0.0,0.0,0.0,40,40,post_hoc_two_arm_normative_audit
prior,exact_h100,optimal_agreement,1.0,1.0,1.0,40,40,post_hoc_two_arm_normative_audit
prior,exact_h100,pseudo_regret,2.226698677311797,1.207960092355161,3.6333934560924313,40,40,post_hoc_two_arm_normative_audit
prior,exact_h100,reward,63.525,55.224375,71.575,40,40,post_hoc_two_arm_normative_audit
prior,finite_ap_index,exact_loss,0.003946275104561271,0.0019041373662853978,0.006336045821894159,40,40,post_hoc_two_arm_normative_audit
prior,finite_ap_index,optimal_agreement,0.97625,0.9487500000000001,0.993,40,40,post_hoc_two_arm_normative_audit
prior,finite_ap_index,pseudo_regret,2.2933036611996016,1.259358477298945,3.702558972795071,40,40,post_hoc_two_arm_normative_audit
prior,finite_ap_index,reward,63.475,55.175,71.475,40,40,post_hoc_two_arm_normative_audit
prior,greedy,exact_loss,1.040266256719041,0.569319708834974,1.5658128069821908,40,40,post_hoc_two_arm_normative_audit
prior,greedy,optimal_agreement,0.679,0.56525,0.7900062499999999,40,40,post_hoc_two_arm_normative_audit
prior,greedy,pseudo_regret,3.6489811572607787,1.5331741579293139,6.29223289364024,40,40,post_hoc_two_arm_normative_audit
prior,greedy,reward,61.6,52.8,69.55,40,40,post_hoc_two_arm_normative_audit
