experiment,family,k,horizon,policy,phase,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_sample,middle,inferior_non_greedy,0.0975,0.08541666666666665,0.11041666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,neutral_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_optimal_agreement,0.84,0.8158333333333334,0.8625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,posterior_mean_greedy,1.0,1.0,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,strict_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,unseen_arm,0.40875,0.3925,0.425,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,lower_mean_higher_sd,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,equal_mean_higher_sd,0.0375,0.02625,0.05,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,unequal_sd_greedy_tie_available,0.0375,0.025,0.05,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,posterior_mean_deficit,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,chosen_posterior_sd,0.24566774758149465,0.24330950753265312,0.2479731161774044,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,bayes_ucb_agreement,1.0,1.0,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,knowledge_gradient_agreement,0.9225,0.90625,0.93875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,bayes_ucb_top_set_size,1.30875,1.295,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,knowledge_gradient_top_set_size,1.30875,1.295,1.32375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_loss,0.0012058107484888868,0.0008315936196475083,0.001621607558312641,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,strict_exploration_required,0.03625,0.025,0.04875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,useful_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,inferior_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_optimal_agreement,0.96375,0.95125,0.975,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,posterior_mean_greedy,0.9425,0.925,0.96,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,strict_non_greedy,0.0575,0.04125,0.07625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,unseen_arm,0.00125,0.0,0.00375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,lower_mean_higher_sd,0.0575,0.04121875000000003,0.075,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,equal_mean_higher_sd,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,unequal_sd_greedy_tie_available,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,posterior_mean_deficit,0.005442662616666101,0.0035446504042322058,0.007583551168232137,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,chosen_posterior_sd,0.10595674534380041,0.10203571646224427,0.10993934594717546,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,bayes_ucb_agreement,1.0,1.0,1.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,knowledge_gradient_agreement,0.94625,0.93,0.96125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,bayes_ucb_top_set_size,1.0075,1.00125,1.015,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,knowledge_gradient_top_set_size,1.0075,1.00125,1.015,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_loss,0.004992925594664316,0.0031312550315335313,0.0070562853169270365,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,strict_exploration_required,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,useful_non_greedy,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,inferior_non_greedy,0.05375,0.03875,0.07125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,late,exact_optimal_agreement,0.94625,0.92875,0.9625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,posterior_mean_greedy,0.9333333333333335,0.92125,0.9445833333333334,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,strict_non_greedy,0.06666666666666667,0.05541666666666666,0.07874999999999999,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,unseen_arm,0.020416666666666666,0.015416666666666665,0.025416666666666664,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,lower_mean_higher_sd,0.06666666666666667,0.05541666666666666,0.07833333333333334,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,equal_mean_higher_sd,0.02,0.014166666666666666,0.02625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,unequal_sd_greedy_tie_available,0.02,0.014166666666666666,0.02625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,posterior_mean_deficit,0.006654434583662525,0.005450366401538277,0.007893813082852605,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,chosen_posterior_sd,0.14440513346448502,0.14053323881298221,0.1481145524818192,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,bayes_ucb_agreement,1.0,1.0,1.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,knowledge_gradient_agreement,0.9041666666666666,0.88625,0.92125,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,bayes_ucb_top_set_size,1.0295833333333335,1.0175,1.0429166666666667,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,knowledge_gradient_top_set_size,1.0304166666666665,1.01875,1.0441666666666667,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_loss,0.0027698594914269147,0.0020399668059114893,0.003513978843207996,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,strict_exploration_required,0.04875,0.03833333333333333,0.05958333333333333,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,useful_non_greedy,0.0325,0.025,0.04041666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,inferior_non_greedy,0.034166666666666665,0.02708333333333333,0.04166666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,neutral_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,middle,exact_optimal_agreement,0.9495833333333334,0.94,0.95875,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,posterior_mean_greedy,0.98625,0.9775,0.99375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,counts_direct,early,strict_non_greedy,0.01375,0.00625,0.0225,200,800,post_hoc_behavioral
