target,k,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
next_reward,2,bayes,means,max_absolute_error,-0.003957142857142853,-0.005029061147186141,-0.002893360389610389,100,100,100,episode
next_reward,3,means,counts,excess_brier,-0.001483083694083692,-0.002257459884559882,-0.0007383655844155827,100,100,100,episode
next_reward,3,means,counts,excess_log_loss,-0.0023173631261153944,-0.0032985294713164426,-0.001367463097296776,100,100,100,episode
next_reward,3,means,counts,max_absolute_error,-0.000789393939393932,-0.0043221933621933545,0.002743252164502177,100,100,100,episode
next_reward,3,bayes,counts,excess_brier,-0.0023667662337662327,-0.003086640115440114,-0.0016870776334776325,100,100,100,episode
next_reward,3,bayes,counts,excess_log_loss,-0.0034198441622319735,-0.004338296342223804,-0.002535709361482169,100,100,100,episode
next_reward,3,bayes,counts,max_absolute_error,-0.00615014430014429,-0.009360070346320335,-0.003031760461760452,100,100,100,episode
next_reward,3,bayes,means,excess_brier,-0.0008836825396825405,-0.0010549783549783562,-0.0007253758658008664,100,100,100,episode
next_reward,3,bayes,means,excess_log_loss,-0.001102481036116579,-0.0013314186124628218,-0.0008846402337345227,100,100,100,episode
next_reward,3,bayes,means,max_absolute_error,-0.005360750360750356,-0.006384383116883113,-0.004342121212121207,100,100,100,episode
next_reward,5,means,counts,excess_brier,-0.00214681818181818,-0.0027854472943722925,-0.0015224927272727258,100,100,100,episode
next_reward,5,means,counts,excess_log_loss,-0.0029634353818205955,-0.0037414006931460225,-0.0021976821552114516,100,100,100,episode
next_reward,5,means,counts,max_absolute_error,-0.002455974025974017,-0.005180784632034623,0.00025916883116883915,100,100,100,episode
next_reward,5,bayes,counts,excess_brier,-0.002844574025974025,-0.003476677878787877,-0.002239919761904761,100,100,100,episode
next_reward,5,bayes,counts,excess_log_loss,-0.003803765922826138,-0.004570220114596984,-0.0030502263949790734,100,100,100,episode
next_reward,5,bayes,counts,max_absolute_error,-0.007186536796536786,-0.009766541125541116,-0.0046126093073593,100,100,100,episode
next_reward,5,bayes,means,excess_brier,-0.0006977558441558444,-0.0008003245670995673,-0.0005956388528138534,100,100,100,episode
next_reward,5,bayes,means,excess_log_loss,-0.0008403305410055421,-0.0009806242755096594,-0.0007026653145248846,100,100,100,episode
next_reward,5,bayes,means,max_absolute_error,-0.004730562770562769,-0.005370139610389607,-0.004087219696969697,100,100,100,episode
next_reward,10,means,counts,excess_brier,-0.0017935073593073575,-0.002285278701298699,-0.0013103203463203444,100,100,100,episode
next_reward,10,means,counts,excess_log_loss,-0.002341876697902352,-0.002927097687891,-0.0017581446442773317,100,100,100,episode
next_reward,10,means,counts,max_absolute_error,-0.000508917748917741,-0.0026801699134199053,0.0016323961038961115,100,100,100,episode
next_reward,10,bayes,counts,excess_brier,-0.0025159619047619036,-0.0029961237987012968,-0.0020465719372294356,100,100,100,episode
next_reward,10,bayes,counts,excess_log_loss,-0.0032330665894604277,-0.0038065578346767113,-0.002659678966057411,100,100,100,episode
next_reward,10,bayes,counts,max_absolute_error,-0.005055800865800855,-0.007105713744588731,-0.0030246277056276936,100,100,100,episode
next_reward,10,bayes,means,excess_brier,-0.0007224545454545459,-0.0008019355844155845,-0.0006449992965367968,100,100,100,episode
next_reward,10,bayes,means,excess_log_loss,-0.0008911898915580763,-0.000994530033644983,-0.0007891978183205121,100,100,100,episode
next_reward,10,bayes,means,max_absolute_error,-0.004546883116883115,-0.005091952922077918,-0.004009630411255409,100,100,100,episode
next_reward,15,means,counts,excess_brier,-0.002122374314574312,-0.002532875649350646,-0.0017274823160173143,100,100,100,episode
next_reward,15,means,counts,excess_log_loss,-0.0028037457240351043,-0.0033075982160563474,-0.0023170857389627117,100,100,100,episode
next_reward,15,means,counts,max_absolute_error,-0.0021216594516594426,-0.0037524375901875815,-0.0005035501443001374,100,100,100,episode
next_reward,15,bayes,counts,excess_brier,-0.002751079653679652,-0.003152974163059161,-0.0023667607864357844,100,100,100,episode
next_reward,15,bayes,counts,excess_log_loss,-0.003569026393618764,-0.004070080024327629,-0.003099809951114203,100,100,100,episode
next_reward,15,bayes,counts,max_absolute_error,-0.006036147186147174,-0.007562884199134187,-0.004538752886002875,100,100,100,episode
next_reward,15,bayes,means,excess_brier,-0.0006287053391053396,-0.0006838226623376627,-0.0005746415873015875,100,100,100,episode
next_reward,15,bayes,means,excess_log_loss,-0.0007652806695836613,-0.0008405048342995109,-0.0006931028533254337,100,100,100,episode
next_reward,15,bayes,means,max_absolute_error,-0.003914487734487732,-0.004302502886002882,-0.0035271017316017292,100,100,100,episode
