target,k,representation,metric,mean,ci_low,ci_high,n_fixtures
next_reward,5,counts,max_absolute_error,0.03691978354978356,0.0343484761904762,0.03957423051948053,100
next_reward,5,means,excess_brier,0.002983553524109369,0.002767134664923822,0.003200622390416222,100
next_reward,5,means,excess_log_loss,0.0043981575594977135,0.003996070028695223,0.0048204412413522186,100
next_reward,5,means,max_absolute_error,0.03446380952380954,0.03304150649350651,0.03590320995670998,100
next_reward,10,bayes,excess_brier,0.0021600054328067323,0.0020382122911395966,0.0022895209449785426,100
next_reward,10,bayes,excess_log_loss,0.003143846122369215,0.002931240424285383,0.003357779621410159,100
next_reward,10,bayes,max_absolute_error,0.028637857142857163,0.027744488095238114,0.02954714177489179,100
next_reward,10,counts,excess_brier,0.004675967337568635,0.004200605479938531,0.005160430531005789,100
next_reward,10,counts,excess_log_loss,0.006376912711829644,0.005758989898552948,0.00701015998571351,100
next_reward,10,counts,max_absolute_error,0.03369365800865802,0.03168468993506495,0.03575765638528139,100
next_reward,10,means,excess_brier,0.002882459978261277,0.0027237129683664106,0.0030497716111485924,100
next_reward,10,means,excess_log_loss,0.004035036013927291,0.0037782408123651664,0.004305970130611263,100
next_reward,10,means,max_absolute_error,0.03318474025974027,0.03210771645021647,0.034283880411255414,100
next_reward,15,bayes,excess_brier,0.0022380353778977164,0.002141422646876934,0.002333643372094476,100
next_reward,15,bayes,excess_log_loss,0.0033852686348609827,0.0031741825596784934,0.003599585382928747,100
next_reward,15,bayes,max_absolute_error,0.02911565656565658,0.02835366991341993,0.029867470057720075,100
next_reward,15,counts,excess_brier,0.004989115031577367,0.004563384936751559,0.005436491631153837,100
next_reward,15,counts,excess_log_loss,0.006954295028479748,0.006347802776623624,0.007566709659824528,100
next_reward,15,counts,max_absolute_error,0.03515180375180376,0.033278030303030316,0.03702491883116884,100
next_reward,15,means,excess_brier,0.0028667407170030555,0.0027484384717302917,0.0029851889879937295,100
next_reward,15,means,excess_log_loss,0.004150549304444644,0.003922303570276449,0.004386120569624351,100
next_reward,15,means,max_absolute_error,0.033030144300144317,0.03217118975468977,0.03390340836940839,100
