experiment,family,k,horizon,policy,turn,n_episodes,mean_cumulative_pseudo_regret,mean_cumulative_reward,non_greedy_fraction
e3_exact_online,prior,2,20,ts,12,200,1.1167730885867235,6.78,0.19
e3_exact_online,prior,2,20,ts,13,200,1.1622729002128727,7.395,0.17
e3_exact_online,prior,2,20,ts,14,200,1.2136878672726334,7.94,0.185
e3_exact_online,prior,2,20,ts,15,200,1.2601481211781396,8.565,0.155
e3_exact_online,prior,2,20,ts,16,200,1.301044427053542,9.18,0.14
e3_exact_online,prior,2,20,ts,17,200,1.3434706909486411,9.75,0.115
e3_exact_online,prior,2,20,ts,18,200,1.3841016365207046,10.315,0.105
e3_exact_online,prior,2,20,ts,19,200,1.4243190930284746,10.935,0.11
e3_exact_online,prior,2,20,ts,20,200,1.4557073421677407,11.605,0.135
e3_exact_online,prior,2,20,ucb1,1,200,0.16050623816005044,0.565,0.0
e3_exact_online,prior,2,20,ucb1,2,200,0.34363736031946424,1.015,0.565
e3_exact_online,prior,2,20,ucb1,3,200,0.4151409772359543,1.605,0.0
e3_exact_online,prior,2,20,ucb1,4,200,0.48773820916910277,2.205,0.17
e3_exact_online,prior,2,20,ucb1,5,200,0.6242146020948701,2.69,0.355
e3_exact_online,prior,2,20,ucb1,6,200,0.694334382701242,3.27,0.235
e3_exact_online,prior,2,20,ucb1,7,200,0.8503285555715843,3.735,0.335
e3_exact_online,prior,2,20,ucb1,8,200,0.9446930417956442,4.28,0.31
e3_exact_online,prior,2,20,ucb1,9,200,1.0025300685749758,4.86,0.18
e3_exact_online,prior,2,20,ucb1,10,200,1.081491853649584,5.435,0.265
e3_exact_online,prior,2,20,ucb1,11,200,1.177448791454607,6.01,0.285
e3_exact_online,prior,2,20,ucb1,12,200,1.2402076015230146,6.575,0.21
e3_exact_online,prior,2,20,ucb1,13,200,1.2980579972166577,7.23,0.205
e3_exact_online,prior,2,20,ucb1,14,200,1.381246828968823,7.8,0.305
e3_exact_online,prior,2,20,ucb1,15,200,1.4858913265313305,8.365,0.32
e3_exact_online,prior,2,20,ucb1,16,200,1.6080202676032693,8.93,0.38
