experiment,comparison_role,family,k,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
e3_exact_online,planned_comparison,prior,2,20,dp_direct,exact,exact_loss,0.0,0.0,0.0,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,finite_ap_index,pseudo_regret,0.02060858808536054,-0.059715636272943934,0.10088641252544213,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,finite_ap_index,reward,-0.005,-0.105,0.105,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,finite_ap_index,exact_loss,-0.00164330233376905,-0.002277138167456747,-0.00108830803093804,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,greedy,pseudo_regret,0.11389454395050666,0.002319648501970715,0.2380403877297615,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,greedy,reward,-0.08,-0.21,0.055,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,greedy,exact_loss,-0.06234919397565641,-0.08169109924735594,-0.04526002149485921,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,ids,pseudo_regret,-0.010974946254635944,-0.0728028058210805,0.05060046324018675,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,ids,reward,0.01,-0.085,0.105,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,ids,exact_loss,-0.036150705415568446,-0.04647779399961043,-0.026876380636625858,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,knowledge_gradient,pseudo_regret,-0.053582732016989,-0.13993558745502246,0.0318429459985734,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,knowledge_gradient,reward,0.075,-0.045,0.2,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,knowledge_gradient,exact_loss,-0.03159859089912234,-0.0405160526453809,-0.023419264587741895,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,dp_direct,ts,pseudo_regret,-0.5639711519091645,-0.676776906639402,-0.452931535347955,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,dp_direct,ts,reward,0.67,0.49,0.845,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,dp_direct,ts,exact_loss,-0.5025147587487888,-0.5477867549186548,-0.4592432779145652,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,ucb1,pseudo_regret,-0.9514386469500407,-1.1144814400124723,-0.7826216269499915,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,ucb1,reward,1.02,0.795,1.235,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,dp_direct,ucb1,exact_loss,-0.9325280647608268,-0.9997363874208717,-0.8646476589940851,200,200,200,episode
pilot,secondary_baseline,clear,2,20,bayes_direct,bayes_ucb,pseudo_regret,-0.5333333333333333,-0.7999999999999999,-0.39999999999999997,3,3,3,episode
pilot,secondary_baseline,clear,5,20,bayes_direct,bayes_ucb,pseudo_regret,1.3333333333333328,-0.8000000000000003,5.199999999999999,3,3,3,episode
pilot,secondary_baseline,clear,15,20,bayes_direct,bayes_ucb,pseudo_regret,0.4000000000000001,0.0,1.2000000000000002,3,3,3,episode
pilot,secondary_baseline,close,2,20,bayes_direct,bayes_ucb,pseudo_regret,0.01666666666666668,-0.10000000000000009,0.20000000000000018,3,3,3,episode
pilot,secondary_baseline,close,5,20,bayes_direct,bayes_ucb,pseudo_regret,-0.2833333333333336,-0.6500000000000006,0.10000000000000009,3,3,3,episode
pilot,secondary_baseline,close,15,20,bayes_direct,bayes_ucb,pseudo_regret,0.10000000000000009,0.0,0.15000000000000013,3,3,3,episode
pilot,secondary_baseline,prior,2,20,bayes_direct,bayes_ucb,pseudo_regret,-0.0443966893898059,-0.21757154368580026,0.11330133588042846,3,3,3,episode
pilot,secondary_baseline,prior,5,20,bayes_direct,bayes_ucb,pseudo_regret,1.4266912730173356,-2.176091457766379,4.832446430642686,3,3,3,episode
pilot,secondary_baseline,prior,15,20,bayes_direct,bayes_ucb,pseudo_regret,0.939792386486042,0.2831850207587827,1.8985903548981096,3,3,3,episode
pilot,secondary_baseline,clear,2,20,bayes_direct,bayes_ucb,reward,1.0,1.0,1.0,3,3,3,episode
pilot,secondary_baseline,clear,5,20,bayes_direct,bayes_ucb,reward,-2.3333333333333335,-7.0,0.0,3,3,3,episode
pilot,secondary_baseline,clear,15,20,bayes_direct,bayes_ucb,reward,0.6666666666666666,-4.0,7.0,3,3,3,episode
pilot,secondary_baseline,close,2,20,bayes_direct,bayes_ucb,reward,1.0,0.0,2.0,3,3,3,episode
pilot,secondary_baseline,close,5,20,bayes_direct,bayes_ucb,reward,-1.6666666666666667,-3.0,0.0,3,3,3,episode
pilot,secondary_baseline,close,15,20,bayes_direct,bayes_ucb,reward,2.3333333333333335,0.0,7.0,3,3,3,episode
pilot,secondary_baseline,prior,2,20,bayes_direct,bayes_ucb,reward,-0.6666666666666666,-1.0,0.0,3,3,3,episode
pilot,secondary_baseline,prior,5,20,bayes_direct,bayes_ucb,reward,0.0,-3.0,3.0,3,3,3,episode
pilot,secondary_baseline,prior,15,20,bayes_direct,bayes_ucb,reward,0.3333333333333333,-3.0,4.0,3,3,3,episode
pilot,primary_assistance,clear,2,20,bayes_direct,counts_direct,pseudo_regret,0.0,0.0,0.0,3,3,3,episode
pilot,primary_assistance,clear,5,20,bayes_direct,counts_direct,pseudo_regret,0.7999999999999999,0.0,2.4,3,3,3,episode
pilot,primary_assistance,clear,15,20,bayes_direct,counts_direct,pseudo_regret,2.2666666666666666,-0.39999999999999947,7.199999999999999,3,3,3,episode
pilot,primary_assistance,close,2,20,bayes_direct,counts_direct,pseudo_regret,0.01666666666666668,0.0,0.050000000000000044,3,3,3,episode
pilot,primary_assistance,close,5,20,bayes_direct,counts_direct,pseudo_regret,-0.2833333333333336,-0.8500000000000009,0.0,3,3,3,episode
pilot,primary_assistance,close,15,20,bayes_direct,counts_direct,pseudo_regret,0.0,0.0,0.0,3,3,3,episode
pilot,primary_assistance,prior,2,20,bayes_direct,counts_direct,pseudo_regret,-0.14964347553272242,-0.23135888291236695,0.0,3,3,3,episode
pilot,primary_assistance,prior,5,20,bayes_direct,counts_direct,pseudo_regret,-3.222489884480192,-6.950796573767646,-1.2848131048426463,3,3,3,episode
pilot,primary_assistance,prior,15,20,bayes_direct,counts_direct,pseudo_regret,-2.7117847776727615,-6.931360397312628,0.0,3,3,3,episode
pilot,primary_assistance,clear,2,20,bayes_direct,counts_direct,reward,0.0,0.0,0.0,3,3,3,episode
pilot,primary_assistance,clear,5,20,bayes_direct,counts_direct,reward,-1.0,-3.0,0.0,3,3,3,episode
pilot,primary_assistance,clear,15,20,bayes_direct,counts_direct,reward,0.0,-2.0,2.0,3,3,3,episode
pilot,primary_assistance,close,2,20,bayes_direct,counts_direct,reward,0.0,0.0,0.0,3,3,3,episode
pilot,primary_assistance,close,5,20,bayes_direct,counts_direct,reward,0.0,0.0,0.0,3,3,3,episode
pilot,primary_assistance,close,15,20,bayes_direct,counts_direct,reward,-0.3333333333333333,-1.0,0.0,3,3,3,episode
pilot,primary_assistance,prior,2,20,bayes_direct,counts_direct,reward,0.0,-1.0,1.0,3,3,3,episode
pilot,primary_assistance,prior,5,20,bayes_direct,counts_direct,reward,3.0,2.0,5.0,3,3,3,episode
pilot,primary_assistance,prior,15,20,bayes_direct,counts_direct,reward,4.0,0.0,10.0,3,3,3,episode
pilot,secondary_baseline,clear,2,20,bayes_direct,greedy,pseudo_regret,0.0,0.0,0.0,3,3,3,episode
pilot,secondary_baseline,clear,5,20,bayes_direct,greedy,pseudo_regret,1.8666666666666665,0.0,4.3999999999999995,3,3,3,episode
pilot,secondary_baseline,clear,15,20,bayes_direct,greedy,pseudo_regret,-0.39999999999999974,-0.7999999999999998,0.0,3,3,3,episode
