cohort,label_scheme,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,comparison_role,expected_pairs,missing_pairs
targeted,letters,1,advice_only,nested,distribution_exact_loss,0.014007530172512788,0.012623538229313218,0.015347939576409784,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,dp_values,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,dp_values,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,1,dp_values,nested,distribution_exact_loss,-0.0009680739430134266,-0.0010178963643863066,-0.0009191034221114128,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,path_explicit,nested,advice_adherence,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,path_explicit,nested,optimal_agreement,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,path_explicit,nested,exact_loss,-0.006011247543167866,-0.009222976881286878,-0.0032287847138323515,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,path_explicit,nested,distribution_exact_loss,-0.005039962872435073,-0.00616587110329026,-0.004056625203255192,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,inline,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,inline,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,inline,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,inline,nested,distribution_exact_loss,-0.0010373681848070472,-0.0014125988043982014,-0.0006497416336506049,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,per_option,nested,advice_adherence,0.0225,0.005,0.0425,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,per_option,nested,optimal_agreement,0.0225,0.0075,0.0425,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,per_option,nested,exact_loss,-0.001224514219177405,-0.002370485452245411,-0.00030303030303030276,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,per_option,nested,distribution_exact_loss,-0.002140267409684169,-0.0026588752387108833,-0.0016870550702019795,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,advice_only,nested,advice_adherence,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,advice_only,nested,optimal_agreement,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,advice_only,nested,exact_loss,-0.006011247543167866,-0.009221870112395954,-0.0032808831137878833,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,advice_only,nested,distribution_exact_loss,0.004243908798123152,0.0015739869753576062,0.006731842946642839,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,dp_values,nested,optimal_agreement,0.18,0.11,0.26,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,dp_values,nested,exact_loss,-0.006011247543167866,-0.009137597173370466,-0.003175757772801182,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,2,dp_values,nested,distribution_exact_loss,-0.0057293568867381895,-0.0077042516050966495,-0.004033048725158404,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,path_explicit,nested,advice_adherence,0.8425,0.8025,0.8825,100,100,100,fixture,primary_descriptive,100,0
targeted,letters,10,path_explicit,nested,optimal_agreement,0.8425,0.8025,0.88,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,path_explicit,nested,exact_loss,-0.0522737463283019,-0.05679627402098559,-0.04773273398981671,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,path_explicit,nested,distribution_exact_loss,-0.026490496147581758,-0.027969840085061027,-0.025017238283824527,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,inline,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,primary_descriptive,100,0
targeted,letters,10,inline,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,inline,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,inline,nested,distribution_exact_loss,0.0013780307228330767,0.0010459333317929351,0.001719528984320841,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,per_option,nested,advice_adherence,0.01,0.0,0.025,100,100,100,fixture,primary_descriptive,100,0
targeted,letters,10,per_option,nested,optimal_agreement,0.01,0.0,0.025,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,per_option,nested,exact_loss,-0.0008616477904293074,-0.0021741201531117584,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,per_option,nested,distribution_exact_loss,-0.011121672158190144,-0.011788557536610653,-0.010418324147347554,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,advice_only,nested,advice_adherence,1.0,1.0,1.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,advice_only,nested,optimal_agreement,1.0,1.0,1.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,advice_only,nested,exact_loss,-0.05953887862752714,-0.06268307599147853,-0.05622872094997635,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,advice_only,nested,distribution_exact_loss,-0.039573789520727286,-0.04132077419283829,-0.03777668286487697,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,dp_values,nested,optimal_agreement,1.0,1.0,1.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,dp_values,nested,exact_loss,-0.05953887862752714,-0.06276637734263434,-0.05625651086168577,100,100,100,fixture,secondary_exploratory,100,0
targeted,letters,10,dp_values,nested,distribution_exact_loss,-0.0478362805115481,-0.050037832955223585,-0.045581656939820185,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,path_explicit,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,path_explicit,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,path_explicit,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,path_explicit,nested,distribution_exact_loss,2.2515368401855863e-05,-3.774724146134147e-05,8.35647839604784e-05,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,inline,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,inline,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,inline,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,inline,nested,distribution_exact_loss,0.00014276862032016891,8.512966147465064e-05,0.00020328456990804784,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,per_option,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,per_option,nested,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,per_option,nested,exact_loss,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,per_option,nested,distribution_exact_loss,-0.00018193661779533938,-0.00022431236814117545,-0.0001383002064348582,100,100,100,fixture,secondary_exploratory,100,0
targeted,original,1,advice_only,nested,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory,100,0
