cohort,label_scheme,horizon,format,metric,mean,ci_low,ci_high,n_fixtures
random,original,10,advice_only,advice_adherence,1.0,1.0,1.0,100
random,original,10,advice_only,distribution_advice_adherence,0.8057250000000002,0.8028250000000001,0.8085749999999998,100
random,original,10,advice_only,optimal_agreement,1.0,1.0,1.0,100
random,original,10,advice_only,exact_loss,0.0,0.0,0.0,100
random,original,10,advice_only,distribution_exact_loss,0.051326067434729075,0.043558627759291396,0.05954561105872274,100
random,original,10,advice_only,posterior_mean_greedy,0.94,0.89,0.98,100
random,original,10,advice_only,prediction_entropy,0.47674337380503595,0.473169223206598,0.4802180525821411,100
random,original,10,advice_only,choice_mismatch,0.0,0.0,0.0,100
random,original,10,dp_values,optimal_agreement,1.0,1.0,1.0,100
random,original,10,dp_values,exact_loss,0.0,0.0,0.0,100
random,original,10,dp_values,distribution_exact_loss,0.004008358881314296,0.003398500063899279,0.004646865326667669,100
random,original,10,inline,advice_adherence,0.915,0.8648750000000001,0.96,100
random,original,10,inline,distribution_advice_adherence,0.8718749999999998,0.8280750000000002,0.911575625,100
random,original,10,inline,optimal_agreement,0.915,0.86,0.96,100
random,original,10,inline,exact_loss,0.004734853271828889,0.0020517253432740293,0.007903268481395402,100
random,original,10,inline,distribution_exact_loss,0.010308874429711137,0.007654419562496049,0.01313367714770949,100
random,original,10,inline,posterior_mean_greedy,0.98,0.96,0.995,100
random,original,10,inline,prediction_entropy,0.2067755437712265,0.16415562796132468,0.2520945725518131,100
random,original,10,inline,choice_mismatch,0.0,0.0,0.0,100
random,original,10,nested,advice_adherence,0.87,0.815,0.9225,100
random,original,10,nested,distribution_advice_adherence,0.858425,0.8123487500000001,0.9004781250000001,100
random,original,10,nested,optimal_agreement,0.89,0.835,0.94,100
random,original,10,nested,exact_loss,0.0073526658368162166,0.004085110868618468,0.011111760357941022,100
random,original,10,nested,distribution_exact_loss,0.010982144199397645,0.008038642964018796,0.014151580152874372,100
random,original,10,nested,posterior_mean_greedy,0.9775,0.955,0.995,100
random,original,10,nested,prediction_entropy,0.20034630362900757,0.15760462509124856,0.2443131638473737,100
random,original,10,nested,choice_mismatch,0.0,0.0,0.0,100
random,original,10,path_explicit,advice_adherence,0.9975,0.9925,1.0,100
random,original,10,path_explicit,distribution_advice_adherence,0.9409750000000001,0.920325,0.9591262500000002,100
random,original,10,path_explicit,optimal_agreement,0.9975,0.9925,1.0,100
random,original,10,path_explicit,exact_loss,8.848061369068905e-06,0.0,2.6544184107206716e-05,100
random,original,10,path_explicit,distribution_exact_loss,0.005161183921067819,0.0039249389877332305,0.006552684843436033,100
random,original,10,path_explicit,posterior_mean_greedy,0.9425,0.895,0.9825,100
random,original,10,path_explicit,prediction_entropy,0.15338278723778612,0.11708731915061618,0.19199196707534882,100
random,original,10,path_explicit,choice_mismatch,0.0,0.0,0.0,100
random,original,10,per_option,advice_adherence,0.9375,0.8875,0.98,100
random,original,10,per_option,distribution_advice_adherence,0.907525,0.87214875,0.9389762500000001,100
random,original,10,per_option,optimal_agreement,0.9375,0.8875,0.98,100
random,original,10,per_option,exact_loss,0.0030013522016430283,0.0007748832195472488,0.005694508830341128,100
random,original,10,per_option,distribution_exact_loss,0.0067197335134313,0.004691111006739155,0.008876488621509627,100
random,original,10,per_option,posterior_mean_greedy,0.9975,0.9925,1.0,100
random,original,10,per_option,prediction_entropy,0.16511258002455848,0.12424545463930105,0.20904790737438633,100
random,original,10,per_option,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,1,advice_only,advice_adherence,1.0,1.0,1.0,100
targeted,letters,1,advice_only,distribution_advice_adherence,0.8470000000000002,0.8447,0.8492750000000001,100
targeted,letters,1,advice_only,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,1,advice_only,exact_loss,0.0,0.0,0.0,100
targeted,letters,1,advice_only,distribution_exact_loss,0.014975604115526215,0.013568179152651861,0.016368325221810132,100
targeted,letters,1,advice_only,posterior_mean_greedy,1.0,1.0,1.0,100
targeted,letters,1,advice_only,prediction_entropy,0.4125973847265081,0.40902274705685,0.41608989026261833,100
targeted,letters,1,advice_only,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,1,dp_values,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,1,dp_values,exact_loss,0.0,0.0,0.0,100
targeted,letters,1,dp_values,distribution_exact_loss,0.0,0.0,0.0,100
targeted,letters,1,inline,advice_adherence,1.0,1.0,1.0,100
targeted,letters,1,inline,distribution_advice_adherence,0.9914749999999999,0.9903750000000001,0.9924756250000003,100
targeted,letters,1,inline,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,1,inline,exact_loss,0.0,0.0,0.0,100
targeted,letters,1,inline,distribution_exact_loss,0.0006329255092047192,0.0005966905796134321,0.0006693043265886857,100
targeted,letters,1,inline,posterior_mean_greedy,1.0,1.0,1.0,100
targeted,letters,1,inline,prediction_entropy,0.0452242728764192,0.040454381343889574,0.050403011126723074,100
targeted,letters,1,inline,choice_mismatch,0.0,0.0,0.0,100
targeted,letters,1,nested,advice_adherence,1.0,1.0,1.0,100
targeted,letters,1,nested,distribution_advice_adherence,0.98735,0.9859,0.9887249999999999,100
targeted,letters,1,nested,optimal_agreement,1.0,1.0,1.0,100
targeted,letters,1,nested,exact_loss,0.0,0.0,0.0,100
targeted,letters,1,nested,distribution_exact_loss,0.0009680739430134266,0.000919892449010102,0.0010171797352355534,100
