cohort,format,contrast_type,fixed_factor,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit,analysis_role
targeted,inline,horizon,labels=original,10,1,exact_loss,0.05953887862752714,0.05619674366616321,0.06282126319732848,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=letters,2,1,exact_loss,0.006011247543167866,0.003169199902584181,0.009126357920405741,100,100,100,fixture,secondary_exploratory
targeted,inline,horizon,labels=letters,10,1,exact_loss,0.05953887862752714,0.05632411914342561,0.0628301931138157,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=1,letters,original,advice_adherence,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=2,letters,original,advice_adherence,0.005,-0.01,0.0175,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=10,letters,original,advice_adherence,0.0,-0.01,0.01,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=original,2,1,advice_adherence,-0.1625,-0.235,-0.095,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=original,10,1,advice_adherence,-0.99,-0.9975,-0.98,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=letters,2,1,advice_adherence,-0.1575,-0.22756249999999995,-0.095,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=letters,10,1,advice_adherence,-0.99,-1.0,-0.975,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=1,letters,original,optimal_agreement,0.0,0.0,0.0,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=2,letters,original,optimal_agreement,0.005,-0.01,0.0175,100,100,100,fixture,secondary_exploratory
targeted,per_option,label_scheme,horizon=10,letters,original,optimal_agreement,0.0,-0.01,0.01,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=original,2,1,optimal_agreement,-0.1625,-0.235,-0.095,100,100,100,fixture,secondary_exploratory
targeted,per_option,horizon,labels=original,10,1,optimal_agreement,-0.99,-0.9975,-0.98,100,100,100,fixture,secondary_exploratory
