fixture_id,k,representation,target,primitive,mean_binary_excess_brier,mean_binary_excess_log_loss,mean_absolute_error
e10_primitive_bridge:15:18,15,oracle_probs_full,next_reward,choice,0.012365707539214033,0.016533699287647537,0.06594805194805195
e10_primitive_bridge:15:18,15,oracle_probs_full,next_reward,noul,0.0026912486647551583,0.003939327804418007,0.032424242424242425
e10_primitive_bridge:15:18,15,oracle_probs_only,best_arm,choice,0.0818442468824948,1.1325833673294883,0.09546854513086186
e10_primitive_bridge:15:18,15,oracle_probs_only,best_arm,noul,0.004809076952215622,0.024577785044147107,0.040947660954745516
e10_primitive_bridge:15:18,15,oracle_probs_only,next_reward,choice,0.026281724855231357,0.0331625711147537,0.10223376623376623
e10_primitive_bridge:15:18,15,oracle_probs_only,next_reward,noul,0.00333098892449542,0.005538725118429163,0.03275757575757578
e10_primitive_bridge:15:19,15,bayes,best_arm,choice,0.043767127992834415,0.8059050313685376,0.07122951719641858
e10_primitive_bridge:15:19,15,bayes,best_arm,noul,0.028249642112366843,0.05357730147575184,0.050499745069271344
e10_primitive_bridge:15:19,15,bayes,next_reward,choice,0.04916325018896449,0.06383894920801944,0.14284126984126985
e10_primitive_bridge:15:19,15,bayes,next_reward,noul,0.0019756311413454295,0.002229420198169506,0.028349206349206364
e10_primitive_bridge:15:19,15,counts,best_arm,choice,0.04219940682324148,0.43972297306261965,0.07054167811367862
e10_primitive_bridge:15:19,15,counts,best_arm,noul,0.029570750766640896,0.05966061474298945,0.05243714947024809
e10_primitive_bridge:15:19,15,counts,next_reward,choice,0.027480710506424796,0.05229269577624134,0.10417460317460318
e10_primitive_bridge:15:19,15,counts,next_reward,noul,0.0038153136810279665,0.006705958328337812,0.030841269841269846
e10_primitive_bridge:15:19,15,oracle_probs_full,best_arm,choice,0.043767127992834415,0.8059050313685376,0.07122951719641858
e10_primitive_bridge:15:19,15,oracle_probs_full,best_arm,noul,0.0017015349037986312,0.012383318048547627,0.027874808801953515
e10_primitive_bridge:15:19,15,oracle_probs_full,next_reward,choice,0.009312456538170822,0.011676848009824107,0.056968253968253973
e10_primitive_bridge:15:19,15,oracle_probs_full,next_reward,noul,0.003217535903250188,0.004073489343604208,0.035492063492063484
e10_primitive_bridge:15:19,15,oracle_probs_only,best_arm,choice,0.043767127992834415,0.8059050313685376,0.07122951719641858
e10_primitive_bridge:15:19,15,oracle_probs_only,best_arm,noul,0.003598843121073761,0.020118154759983586,0.03993740440097675
e10_primitive_bridge:15:19,15,oracle_probs_only,next_reward,choice,0.009560075585789871,0.01238534016087439,0.04849206349206349
e10_primitive_bridge:15:19,15,oracle_probs_only,next_reward,noul,0.0028737263794406647,0.004001272584733704,0.030301587301587312
e10_primitive_bridge:15:2,15,bayes,best_arm,choice,0.04457246203368986,0.4361623893444092,0.06763582022021293
