fixture_id,k,representation,repeat,sum_probabilities,absolute_sum_error,normalization_defined,normalized_mean_binary_excess_brier
e10_primitive_bridge:15:3,15,bayes,0,1.4400000000000002,0.44000000000000017,True,0.004127370306725582
e10_primitive_bridge:15:3,15,bayes,1,1.4700000000000002,0.4700000000000002,True,0.003585819938150272
e10_primitive_bridge:15:3,15,counts,0,1.1400000000000001,0.14000000000000012,True,0.007035128205377436
e10_primitive_bridge:15:3,15,counts,1,1.2300000000000002,0.2300000000000002,True,0.006486874042817425
e10_primitive_bridge:15:3,15,oracle_probs_full,0,1.2600000000000002,0.26000000000000023,True,0.003553908191188442
e10_primitive_bridge:15:3,15,oracle_probs_full,1,1.2800000000000005,0.28000000000000047,True,0.0038719648125713916
e10_primitive_bridge:15:3,15,oracle_probs_only,0,1.5500000000000003,0.5500000000000003,True,0.005519772716391496
e10_primitive_bridge:15:3,15,oracle_probs_only,1,1.5300000000000002,0.5300000000000002,True,0.005443843511482605
e10_primitive_bridge:15:4,15,bayes,0,1.4600000000000002,0.4600000000000002,True,0.0014800856236736176
e10_primitive_bridge:15:4,15,bayes,1,1.4800000000000002,0.4800000000000002,True,0.001553339484758536
e10_primitive_bridge:15:4,15,counts,0,1.31,0.31000000000000005,True,0.0015011820794580682
e10_primitive_bridge:15:4,15,counts,1,1.33,0.33000000000000007,True,0.0013781785023518353
e10_primitive_bridge:15:4,15,oracle_probs_full,0,1.3500000000000003,0.3500000000000003,True,0.003065907360808224
e10_primitive_bridge:15:4,15,oracle_probs_full,1,1.3600000000000003,0.3600000000000003,True,0.0035436787266747306
e10_primitive_bridge:15:4,15,oracle_probs_only,0,1.5900000000000003,0.5900000000000003,True,0.00666078150890313
e10_primitive_bridge:15:4,15,oracle_probs_only,1,1.6300000000000003,0.6300000000000003,True,0.007899057504372515
e10_primitive_bridge:15:5,15,bayes,0,1.5300000000000002,0.5300000000000002,True,0.007041009634371212
e10_primitive_bridge:15:5,15,bayes,1,1.5300000000000002,0.5300000000000002,True,0.007623873630288003
e10_primitive_bridge:15:5,15,counts,0,1.2300000000000002,0.2300000000000002,True,0.04191710604158779
e10_primitive_bridge:15:5,15,counts,1,1.2700000000000002,0.27000000000000024,True,0.04071647597673533
e10_primitive_bridge:15:5,15,oracle_probs_full,0,1.23,0.22999999999999998,True,0.001959857331272492
e10_primitive_bridge:15:5,15,oracle_probs_full,1,1.2800000000000002,0.28000000000000025,True,0.0022940906190035953
e10_primitive_bridge:15:5,15,oracle_probs_only,0,1.5400000000000003,0.5400000000000003,True,0.0030652178920591794
e10_primitive_bridge:15:5,15,oracle_probs_only,1,1.5800000000000003,0.5800000000000003,True,0.0031028705482026315
e10_primitive_bridge:15:6,15,bayes,0,1.8000000000000003,0.8000000000000003,True,0.0009147360361992655
e10_primitive_bridge:15:6,15,bayes,1,1.7000000000000002,0.7000000000000002,True,0.0007017485677779148
e10_primitive_bridge:15:6,15,counts,0,1.5700000000000003,0.5700000000000003,True,0.015269181683317612
e10_primitive_bridge:15:6,15,counts,1,1.59,0.5900000000000001,True,0.017777299082999694
e10_primitive_bridge:15:6,15,oracle_probs_full,0,1.3900000000000003,0.39000000000000035,True,0.0023826145785635056
e10_primitive_bridge:15:6,15,oracle_probs_full,1,1.4100000000000001,0.41000000000000014,True,0.002164167960835277
e10_primitive_bridge:15:6,15,oracle_probs_only,0,1.5500000000000005,0.5500000000000005,True,0.002504753383836466
e10_primitive_bridge:15:6,15,oracle_probs_only,1,1.4700000000000002,0.4700000000000002,True,0.002686309586117081
e10_primitive_bridge:15:7,15,bayes,0,1.3,0.30000000000000004,True,0.0011059733933509652
e10_primitive_bridge:15:7,15,bayes,1,1.25,0.25,True,0.0007409728219027681
e10_primitive_bridge:15:7,15,counts,0,1.28,0.28,True,0.0014121726447202528
e10_primitive_bridge:15:7,15,counts,1,1.2900000000000003,0.29000000000000026,True,0.0013907226739115377
e10_primitive_bridge:15:7,15,oracle_probs_full,0,1.28,0.28,True,0.0033603176088824603
e10_primitive_bridge:15:7,15,oracle_probs_full,1,1.31,0.31000000000000005,True,0.003366369674625276
e10_primitive_bridge:15:7,15,oracle_probs_only,0,1.4200000000000002,0.42000000000000015,True,0.01008095056342993
e10_primitive_bridge:15:7,15,oracle_probs_only,1,1.3900000000000001,0.3900000000000001,True,0.00973465265257545
e10_primitive_bridge:15:8,15,bayes,0,1.46,0.45999999999999996,True,0.002439443845827908
e10_primitive_bridge:15:8,15,bayes,1,1.42,0.41999999999999993,True,0.0023287066869907436
e10_primitive_bridge:15:8,15,counts,0,0.9999999999999999,1.1102230246251565e-16,True,0.017288737075293655
e10_primitive_bridge:15:8,15,counts,1,1.06,0.06000000000000005,True,0.016880403614427223
e10_primitive_bridge:15:8,15,oracle_probs_full,0,1.33,0.33000000000000007,True,0.002299780910289267
e10_primitive_bridge:15:8,15,oracle_probs_full,1,1.3,0.30000000000000004,True,0.0022541137814568
e10_primitive_bridge:15:8,15,oracle_probs_only,0,1.57,0.5700000000000001,True,0.002902081305307268
e10_primitive_bridge:15:8,15,oracle_probs_only,1,1.6,0.6000000000000001,True,0.00308592035509182
e10_primitive_bridge:15:9,15,bayes,0,1.4500000000000002,0.4500000000000002,True,0.004153087665395786
e10_primitive_bridge:15:9,15,bayes,1,1.5100000000000002,0.5100000000000002,True,0.003566016246154024
e10_primitive_bridge:15:9,15,counts,0,1.1800000000000002,0.18000000000000016,True,0.003969575404583975
