experiment,family,k,horizon,policy,phase,normative_reference,normative_interpretation,metric,mean,ci_low,ci_high,n_episodes,n_recorded_turns,analysis_role
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,posterior_mean_greedy,0.91875,0.89875,0.9375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,strict_non_greedy,0.08125,0.0625,0.10125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,unseen_arm,0.005,0.00125,0.01,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,lower_mean_higher_sd,0.06,0.045,0.07625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,equal_mean_higher_sd,0.0025,0.0,0.00625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.0075,0.0025,0.01375,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,posterior_mean_deficit,0.015853316236781795,0.011573229576822601,0.020545192464215774,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,chosen_posterior_sd,0.10995085130758081,0.10638208253547,0.11345097486839888,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,bayes_ucb_agreement,0.81125,0.76875,0.85125,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,knowledge_gradient_agreement,0.90875,0.8875,0.9287812499999996,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,bayes_ucb_top_set_size,1.00375,1.0,1.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.00375,1.0,1.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,exact_loss,0.01573419048839864,0.011423760850095681,0.02036669669059067,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,strict_exploration_required,0.0125,0.005,0.0225,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,useful_non_greedy,0.00375,0.0,0.00875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,inferior_non_greedy,0.0775,0.06,0.09625,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,late,exact_e3,matched_prior,exact_optimal_agreement,0.90875,0.8875,0.92875,200,800,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,posterior_mean_greedy,0.8875,0.87375,0.9008333333333334,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,strict_non_greedy,0.1125,0.09875,0.12625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,unseen_arm,0.012916666666666665,0.00875,0.017083333333333332,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,lower_mean_higher_sd,0.08833333333333333,0.0775,0.09999999999999998,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,equal_mean_higher_sd,0.01375,0.00875,0.01875,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,unequal_sd_greedy_tie_available,0.026666666666666665,0.019166666666666665,0.035,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,posterior_mean_deficit,0.0250069588975839,0.021349992036320164,0.02892760976003163,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,chosen_posterior_sd,0.14945582359451723,0.14618941134268224,0.15255153936317292,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,bayes_ucb_agreement,0.8158333333333334,0.78875,0.84125,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,knowledge_gradient_agreement,0.8054166666666667,0.78,0.83,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,bayes_ucb_top_set_size,1.0308333333333335,1.0195833333333335,1.0433333333333334,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,knowledge_gradient_top_set_size,1.0325,1.02125,1.0454166666666667,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,exact_loss,0.024778699089960856,0.02115705851995869,0.02873675034714978,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,strict_exploration_required,0.06458333333333333,0.04791666666666666,0.0825,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,useful_non_greedy,0.015,0.010416666666666664,0.02,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,inferior_non_greedy,0.0975,0.08541666666666665,0.11041666666666666,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,neutral_non_greedy,0.0,0.0,0.0,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_sample,middle,exact_e3,matched_prior,exact_optimal_agreement,0.84,0.8158333333333334,0.8625,200,2400,post_hoc_behavioral
e3_exact_online,prior,2,20,bayes_ucb,early,exact_e3,matched_prior,posterior_mean_greedy,1.0,1.0,1.0,200,800,post_hoc_behavioral
