experiment,family,k,horizon,policy,episode_id,normative_reference,normative_interpretation,phase,n_turns,posterior_mean_greedy,strict_non_greedy,unseen_arm,lower_mean_higher_sd,equal_mean_higher_sd,unequal_sd_greedy_tie_available,posterior_mean_deficit,chosen_posterior_sd,bayes_ucb_agreement,knowledge_gradient_agreement,bayes_ucb_top_set_size,knowledge_gradient_top_set_size,exact_loss,strict_exploration_required,useful_non_greedy,inferior_non_greedy,neutral_non_greedy,exact_optimal_agreement
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:2,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:2,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.028769841269841268,0.1784316822014054,0.6666666666666666,0.5,1.0,1.0,0.016348749036710464,0.16666666666666666,0.0,0.16666666666666666,0.0,0.6666666666666666
e3_exact_online,prior,2,20,bayes_sample,e3_exact_online:prior:2:2,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14159775197937124,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,middle,12,0.75,0.25,0.0,0.25,0.0,0.0,0.013293650793650793,0.17934012741460828,0.9166666666666666,0.8333333333333334,1.0,1.0,0.0,0.25,0.25,0.0,0.0,1.0
e3_exact_online,prior,2,20,dp_direct,e3_exact_online:prior:2:2,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1351677879596545,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,early,4,1.0,0.0,0.25,0.0,0.0,0.25,0.0,0.2369960481850769,0.75,0.5,1.25,1.25,0.027818750301561668,0.25,0.0,0.0,0.0,0.5
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,middle,12,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.00522875816993464,0.14341074408183505,0.08333333333333333,0.08333333333333333,1.0,1.0,0.06791312111539034,0.5833333333333334,0.0,0.16666666666666666,0.0,0.08333333333333333
e3_exact_online,prior,2,20,counts_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,late,4,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.11048616967199626,0.0,0.25,1.0,1.0,0.0588659147869674,0.25,0.0,0.0,0.0,0.25
e3_exact_online,prior,2,20,bayes_direct,e3_exact_online:prior:2:3,exact_e3,matched_prior,early,4,1.0,0.0,0.5,0.0,0.25,0.25,0.0,0.25916483183378014,1.0,1.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,1.0
